id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
21,Lexus,RC 350 Base,2015,"124,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Blue,None reported,Yes,24000.0
22,Porsche,Cayman R,2012,"54,000 mi.",Gasoline,330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,None reported,Yes,75000.0
23,Hyundai,Elantra N Base,2022,"11,650 mi.",Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300.0
24,Ford,Expedition Limited,2023,"9,500 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,63500.0
25,Audi,Q5 2.0T Premium Plus,2018,"50,400 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,28500.0
26,Mercedes-Benz,GL-Class GL 550,2011,"80,124 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,17500.0
27,Toyota,4Runner Limited,2004,"186,117 mi.",Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,13000.0
28,Audi,A8 L 55,2019,"93,400 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Brown,None reported,Yes,42500.0
29,Ford,Mustang GT Premium,2010,"58,500 mi.",Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,White,Red,At least 1 accident or damage reported,Yes,20000.0
30,Land,Rover Range Rover 3.0L Supercharged,2014,"59,500 mi.",E85 Flex Fuel,340.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,None reported,Yes,33800.0
31,Lexus,IS-F Base,2008,"113,000 mi.",Gasoline,416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,34000.0
32,Audi,SQ5 3.0T Premium,2020,"21,832 mi.",Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,42000.0
33,Lexus,LS 460 L,2007,"127,980 mi.",Gasoline,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,9999.0
34,Land,Rover Range Rover Evoque HSE Dynamic,2016,"79,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Red,None reported,Yes,24000.0
35,Buick,Enclave Leather,2017,"83,280 mi.",Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Quicksilver Metallic,Ebony,None reported,,20599.0
36,BMW,M3 Base,1999,"184,700 mi.",Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Gray,None reported,Yes,36950.0
37,Lincoln,Navigator Base,2009,"191,775 mi.",E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,9750.0
38,Lincoln,Corsair Standard,2022,"4,520 mi.",Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Beige,None reported,Yes,38500.0
39,Mercedes-Benz,CLK-Class CLK 350,2008,"93,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,12000.0
40,BMW,X3 xDrive30i,2019,"92,040 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Alpine White,Black,None reported,Yes,24999.0
41,Dodge,Ram 1500 Laramie Mega Cab,2006,"300,183 mi.",Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0
42,Jaguar,XK Base,2007,"56,000 mi.",Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,18000.0
43,Mercedes-Benz,E-Class E 350,2014,"55,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,19250.0
44,Tesla,Model X P100D,2017,"100,346 mi.",,Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,45999.0
45,Aston,Martin V8 Vantage Base,2008,"62,378 mi.",Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,M/T,Red,Beige,At least 1 accident or damage reported,Yes,33995.0
46,Volkswagen,Jetta 1.4T SE,2016,"87,000 mi.",Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,At least 1 accident or damage reported,Yes,13000.0
47,Alfa,Romeo Stelvio Ti,2020,"41,000 mi.",Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,32400.0
48,Mercedes-Benz,C-Class C 300 4MATIC,2020,"14,220 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Beige,None reported,Yes,35500.0
49,Nissan,Frontier SV,2013,"67,000 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,Yes,15500.0
50,Cadillac,Escalade ESV Luxury,2016,"146,200 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24500.0
51,Porsche,Macan Base,2022,"13,000 mi.",Gasoline,261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,60000.0
52,Audi,A6 55 Prestige,2021,"22,800 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Blue,Brown,None reported,Yes,52000.0
53,Audi,TT RS Base,2012,"54,900 mi.",Gasoline,360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Brown,,,28900.0
54,Chevrolet,Suburban 1500 LT,2008,"162,750 mi.",Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,White,Black,At least 1 accident or damage reported,Yes,7200.0
55,Saturn,Sky Red Line,2008,"94,291 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,14500.0
56,Dodge,Durango SRT 392,2022,"31,917 mi.",Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,64683.0
57,BMW,540 i,2017,"98,500 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,24500.0
58,Chevrolet,Corvette Base,2005,"36,700 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,26000.0
59,Ford,Mustang Shelby GT500,2012,"6,400 mi.",Gasoline,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,48000.0
60,Chevrolet,Trailblazer LS,2021,"20,497 mi.",Gasoline,1.3L I3 12V GDI DOHC Turbo,9-Speed Automatic,Pacific Blue Metallic,Black,None reported,,22999.0
61,Jeep,Wagoneer Series II 4x4,2022,"29,800 mi.",Gasoline,"HEMI 5.7L V-8 variable valve control, regular unleaded, engine w","Automatic, 8-Spd",–,–,None reported,,58900.0
62,Nissan,Pathfinder Platinum,2014,"112,600 mi.",Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,13000.0
63,Acura,ILX 2.0L w/Premium Package,2013,"198,000 mi.",Gasoline,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,11000.0
64,Volvo,XC40 T5 Momentum,2020,"56,536 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White,Charcoal,None reported,,26599.0
65,Mercedes-Benz,AMG C 63 S,2017,"34,500 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,64600.0
66,Maserati,Ghibli S Q4,2018,"20,000 mi.",Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,43000.0
67,Acura,MDX 3.7L Advance,2011,"137,200 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,None reported,Yes,12000.0
68,Audi,A6 2.0T Sport,2018,"49,650 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,23750.0
69,RAM,ProMaster 2500 High Roof,2018,"10,339 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,36990.0
70,GMC,Sierra 2500 Denali,2021,"16,919 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,73000.0
71,Ford,Ranger Edge SuperCab,2004,"110,000 mi.",Gasoline,148.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,8500.0
72,Chevrolet,Suburban Premier,2017,"92,728 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,34900.0
73,BMW,X3 xDrive30i,2021,"15,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,None reported,Yes,39995.0
74,Genesis,G80 3.3T Sport,2019,"57,500 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,32990.0
75,Ford,Mustang Shelby GT500,2013,"16,478 mi.",Gasoline,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,66400.0
76,Lexus,LX 600 F SPORT,2023,490 mi.,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,124999.0
77,BMW,740 i,2012,"126,000 mi.",Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12700.0
78,Dodge,Viper SRT-10,2003,"10,800 mi.",Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,65499.0
79,Tesla,Model Y Long Range,2022,500 mi.,,425.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,45900.0
80,Chevrolet,Express 3500 Base,2008,"144,000 mi.",Gasoline,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,22000.0
81,Lexus,RX 350 Base,2013,"164,500 mi.",Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,16500.0
82,Lexus,ES 350 Base,2020,"15,324 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,Black,At least 1 accident or damage reported,,33364.0
83,Porsche,911 Carrera GTS,2015,"23,600 mi.",Gasoline,430.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Red,Black,None reported,Yes,132900.0
84,GMC,Terrain SLE,2020,"26,470 mi.",Gasoline,1.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,29900.0
85,Tesla,Model Y Long Range,2022,"20,500 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,46500.0
86,Nissan,Armada SL,2021,"67,800 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500.0
87,Land,Rover Range Rover Velar P380 SE R-Dynamic,2019,"19,813 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Beige,None reported,Yes,51900.0
88,Chrysler,Pacifica Touring,2017,"63,000 mi.",–,–,9-Speed A/T,White,Beige,None reported,Yes,20000.0
89,Chevrolet,Traverse Premier,2020,"52,000 mi.",Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,35800.0
90,BMW,M3 Base,2003,"127,273 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,15000.0
91,Porsche,911 Turbo,2018,"28,470 mi.",Gasoline,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,147500.0
92,Chevrolet,Camaro 1SS,2017,"39,000 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Yellow,Black,None reported,Yes,31500.0
93,BMW,M3 Competition,2021,"33,500 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,71000.0
94,Ford,Expedition Max Limited,2022,"26,500 mi.",Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,65900.0
95,BMW,M340 i xDrive,2022,"9,000 mi.",Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Red,None reported,Yes,56900.0
96,Jeep,Wrangler Sport,2016,"74,139 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,23000.0
97,Ford,Explorer XLT,2022,"20,678 mi.",Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,46000.0
98,Toyota,Land Cruiser Base,2016,"91,000 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,68500.0
99,Hyundai,IONIQ Plug-In Hybrid SEL,2022,"13,044 mi.",Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,24999.0
100,Jaguar,XF 35t Prestige,2017,"101,453 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,18500.0
101,Mercedes-Benz,S-Class S 560,2018,"45,791 mi.",Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Gray,None reported,Yes,52000.0
102,Kia,Forte GT-Line,2022,"14,950 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,24000.0
103,Jeep,Compass Limited,2022,"20,472 mi.",Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,Red,Black,None reported,,28298.0
104,Cadillac,DTS Base,2010,"49,620 mi.",Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,10499.0
105,Audi,Q5 S line Premium Plus,2023,"6,682 mi.",Hybrid,2.0 Liter TFSI,Automatic,Mythos Black Metallic,Rock Gray,None reported,,47798.0
106,Porsche,911 Carrera Turbo,2003,"155,000 mi.",Gasoline,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,55000.0
107,Porsche,911 Carrera 4S,2003,"90,000 mi.",Gasoline,315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,,,24000.0
108,Mercedes-Benz,SLK-Class SLK230 Kompressor,2001,"58,800 mi.",Gasoline,190.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,9000.0
109,Dodge,Challenger SRT Hellcat,2020,"2,750 mi.",Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,Yes,104500.0
110,BMW,X3 xDrive35i,2011,"75,500 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,12975.0
111,Porsche,Boxster S,2003,"138,202 mi.",Gasoline,3.2L H6 24V MPFI DOHC,6-Speed Manual,Silver,Black,At least 1 accident or damage reported,Yes,22550.0
112,Nissan,Pathfinder SL,2018,"167,000 mi.",Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,,,14500.0
113,Maserati,GranTurismo Base,2015,"28,000 mi.",Gasoline,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Red,None reported,Yes,44999.0
114,Honda,Odyssey EX-L,2007,"170,000 mi.",Gasoline,244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,7700.0
115,Volvo,850 Turbo,1995,"94,000 mi.",–,–,A/T,White,Black,None reported,Yes,4500.0
116,Nissan,350Z Touring,2006,"84,200 mi.",Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,10200.0
117,Ford,Mustang Boss 302,2012,"1,295 mi.",Gasoline,444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,None reported,Yes,49990.0
118,Cadillac,XLR V,2008,"64,800 mi.",Gasoline,443.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,,,24700.0
119,Lamborghini,Urus Base,2019,"16,876 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Gray,Brown,None reported,,209900.0
120,Dodge,Dakota SLT Quad Cab,2006,"256,000 mi.",Gasoline,4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,4000.0
121,Acura,ZDX Base,2010,"123,000 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,13888.0
122,Jaguar,XF 3.0 Portfolio,2015,"71,290 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,At least 1 accident or damage reported,Yes,21000.0
123,INFINITI,QX56 Base,2011,"130,921 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,White,Beige,None reported,Yes,12000.0
124,BMW,M4 Base,2015,"98,000 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Orange,None reported,Yes,32999.0
125,Ford,Thunderbird Deluxe,2004,"39,000 mi.",Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,,,22000.0
126,GMC,Terrain SLT-1,2015,"76,296 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,9500.0
127,GMC,Yukon XL SLT,2016,"183,544 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0
128,Toyota,Avalon Touring,2016,"89,148 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500.0
129,Subaru,Outback 2.5 i Special Edition,2009,"181,870 mi.",Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,6500.0
130,Ford,Mustang V6,2013,"147,191 mi.",Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,12990.0
131,Ford,Explorer Platinum,2021,"64,957 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,Black,Light Slate,None reported,Yes,39979.0
132,Ford,Expedition Limited,2021,"23,842 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,None reported,Yes,59203.0
133,Nissan,350Z Touring,2007,"90,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,M/T,White,Green,At least 1 accident or damage reported,Yes,12000.0
134,BMW,X3 xDrive28i,2015,"92,984 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,Yes,17000.0
135,Acura,MDX Technology,2008,"184,421 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,5000.0
136,Chevrolet,Tahoe LTZ,2015,500 mi.,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,37000.0
137,Land,Rover Defender V8,2022,"3,000 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,96500.0
138,Jeep,Grand Cherokee Laredo,2011,"98,658 mi.",Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,None reported,Yes,14995.0
139,Ford,F-150 Lariat,2013,"102,000 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,23000.0
140,Tesla,Model 3,2018,"26,609 mi.",,Electric,Automatic,Gray,–,None reported,,36998.0
141,GMC,Yukon XL SLT,2017,"47,589 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,45500.0
142,Hyundai,Palisade Limited,2020,"45,815 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,37700.0
143,RAM,2500 Big Horn,2018,"27,839 mi.",Gasoline,6.4L V8 16V MPFI OHV,6-Speed Automatic,Granite Crystal Clearcoat Metallic,Diesel Gray / Black,None reported,Yes,41688.0
144,BMW,323 Ci,2000,"177,700 mi.",Gasoline,170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,Yes,2500.0
145,RAM,1500 Limited,2019,"87,768 mi.",Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,Yes,44000.0
146,Lexus,IS 350 Base,2014,"123,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,18000.0
147,RAM,1500 Classic Warlock,2019,"36,757 mi.",E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,31953.0
